symbol,sector
00757.HK,HKEX
00759.HK,HKEX
00760.HK,HKEX
00762.HK,HKEX
00763.HK,HKEX
00764.HK,HKEX
00765.HK,HKEX
00767.HK,HKEX
00768.HK,HKEX
00769.HK,HKEX
00770.HK,HKEX
00771.HK,HKEX
00772.HK,HKEX
00775.HK,HKEX
00776.HK,HKEX
00777.HK,HKEX
00780.HK,HKEX
00784.HK,HKEX
00788.HK,HKEX
00789.HK,HKEX
00794.HK,HKEX
00797.HK,HKEX
00798.HK,HKEX
00799.HK,HKEX
00800.HK,HKEX
00802.HK,HKEX
00804.HK,HKEX
00805.HK,HKEX
00806.HK,HKEX
00807.HK,HKEX
00809.HK,HKEX
00810.HK,HKEX
00811.HK,HKEX
00813.HK,HKEX
00814.HK,HKEX
00815.HK,HKEX
00816.HK,HKEX
00817.HK,HKEX
00818.HK,HKEX
00819.HK,HKEX
00821.HK,HKEX
00822.HK,HKEX
00825.HK,HKEX
00826.HK,HKEX
00827.HK,HKEX
00828.HK,HKEX
00829.HK,HKEX
00830.HK,HKEX
00831.HK,HKEX
00832.HK,HKEX
00833.HK,HKEX
00834.HK,HKEX
00836.HK,HKEX
00837.HK,HKEX
00838.HK,HKEX
00839.HK,HKEX
00840.HK,HKEX
00841.HK,HKEX
00842.HK,HKEX
00844.HK,HKEX
00845.HK,HKEX
00846.HK,HKEX
00848.HK,HKEX
00851.HK,HKEX
00852.HK,HKEX
00853.HK,HKEX
00854.HK,HKEX
00855.HK,HKEX
00856.HK,HKEX
00857.HK,HKEX
00858.HK,HKEX
00859.HK,HKEX
00860.HK,HKEX
00861.HK,HKEX
00862.HK,HKEX
00863.HK,HKEX
00864.HK,HKEX
00865.HK,HKEX
00866.HK,HKEX
00867.HK,HKEX
00868.HK,HKEX
00869.HK,HKEX
00871.HK,HKEX
00873.HK,HKEX
00874.HK,HKEX
00875.HK,HKEX
00876.HK,HKEX
00878.HK,HKEX
00880.HK,HKEX
00881.HK,HKEX
00882.HK,HKEX
00883.HK,HKEX
00884.HK,HKEX
00887.HK,HKEX
00888.HK,HKEX
00889.HK,HKEX
00893.HK,HKEX
00894.HK,HKEX
00895.HK,HKEX
00896.HK,HKEX
00897.HK,HKEX
00898.HK,HKEX
00899.HK,HKEX
00900.HK,HKEX
00902.HK,HKEX
00905.HK,HKEX
00907.HK,HKEX
00909.HK,HKEX
00910.HK,HKEX
00911.HK,HKEX
00912.HK,HKEX
00913.HK,HKEX
00914.HK,HKEX
00915.HK,HKEX
00916.HK,HKEX
00917.HK,HKEX
00918.HK,HKEX
00919.HK,HKEX
00921.HK,HKEX
00922.HK,HKEX
00923.HK,HKEX
00924.HK,HKEX
00926.HK,HKEX
00927.HK,HKEX
00928.HK,HKEX
00929.HK,HKEX
00931.HK,HKEX
00932.HK,HKEX
00933.HK,HKEX
00934.HK,HKEX
00936.HK,HKEX
00938.HK,HKEX
00939.HK,HKEX
00941.HK,HKEX
00943.HK,HKEX
00945.HK,HKEX
00947.HK,HKEX
00948.HK,HKEX
00950.HK,HKEX
00951.HK,HKEX
00952.HK,HKEX
00953.HK,HKEX
00954.HK,HKEX
00956.HK,HKEX
00959.HK,HKEX
00960.HK,HKEX
00966.HK,HKEX
00968.HK,HKEX
00969.HK,HKEX
00970.HK,HKEX
00974.HK,HKEX
00975.HK,HKEX
00976.HK,HKEX
00978.HK,HKEX
00979.HK,HKEX
00980.HK,HKEX
00981.HK,HKEX
00983.HK,HKEX
00984.HK,HKEX
00986.HK,HKEX
00987.HK,HKEX
00989.HK,HKEX
00990.HK,HKEX
00991.HK,HKEX
00992.HK,HKEX
00993.HK,HKEX
00994.HK,HKEX
00995.HK,HKEX
00997.HK,HKEX
00998.HK,HKEX
00999.HK,HKEX
01000.HK,HKEX
01001.HK,HKEX
01002.HK,HKEX
01003.HK,HKEX
01004.HK,HKEX
01005.HK,HKEX
01007.HK,HKEX
01008.HK,HKEX
01009.HK,HKEX
01010.HK,HKEX
01011.HK,HKEX
01013.HK,HKEX
01020.HK,HKEX
01022.HK,HKEX
01023.HK,HKEX
01024.HK,HKEX
01025.HK,HKEX
01026.HK,HKEX
01027.HK,HKEX
01028.HK,HKEX
01029.HK,HKEX
01030.HK,HKEX
01033.HK,HKEX
01036.HK,HKEX
01037.HK,HKEX
01038.HK,HKEX
01039.HK,HKEX
01044.HK,HKEX
01045.HK,HKEX
01046.HK,HKEX
01047.HK,HKEX
01049.HK,HKEX
01050.HK,HKEX
01051.HK,HKEX
01052.HK,HKEX
01053.HK,HKEX
01055.HK,HKEX
01057.HK,HKEX
01058.HK,HKEX
01059.HK,HKEX
01060.HK,HKEX
01061.HK,HKEX
01062.HK,HKEX
01063.HK,HKEX
01064.HK,HKEX
01065.HK,HKEX
01066.HK,HKEX
01068.HK,HKEX
01069.HK,HKEX
01070.HK,HKEX
01071.HK,HKEX
01072.HK,HKEX
01073.HK,HKEX
01075.HK,HKEX
01079.HK,HKEX
01080.HK,HKEX
01082.HK,HKEX
01083.HK,HKEX
01084.HK,HKEX
01085.HK,HKEX
01086.HK,HKEX
01087.HK,HKEX
01088.HK,HKEX
01090.HK,HKEX
01091.HK,HKEX
01093.HK,HKEX
01094.HK,HKEX
01097.HK,HKEX
01098.HK,HKEX
01099.HK,HKEX
01100.HK,HKEX
01101.HK,HKEX
01102.HK,HKEX
01104.HK,HKEX
01105.HK,HKEX
01107.HK,HKEX
01108.HK,HKEX
01109.HK,HKEX
01110.HK,HKEX
01111.HK,HKEX
01112.HK,HKEX
01113.HK,HKEX
01114.HK,HKEX
01115.HK,HKEX
01116.HK,HKEX
01117.HK,HKEX
01118.HK,HKEX
01119.HK,HKEX
01120.HK,HKEX
01121.HK,HKEX
01122.HK,HKEX
01123.HK,HKEX
01124.HK,HKEX
01125.HK,HKEX
01126.HK,HKEX
01127.HK,HKEX
01128.HK,HKEX
01129.HK,HKEX
01130.HK,HKEX
01132.HK,HKEX
01133.HK,HKEX
01134.HK,HKEX
01137.HK,HKEX
01138.HK,HKEX
01140.HK,HKEX
01141.HK,HKEX
01142.HK,HKEX
01143.HK,HKEX
01145.HK,HKEX
01146.HK,HKEX
01147.HK,HKEX
01148.HK,HKEX
01150.HK,HKEX
01152.HK,HKEX
01153.HK,HKEX
01156.HK,HKEX
01157.HK,HKEX
01159.HK,HKEX
01160.HK,HKEX
01161.HK,HKEX
01162.HK,HKEX
01163.HK,HKEX
01164.HK,HKEX
01165.HK,HKEX
01166.HK,HKEX
01167.HK,HKEX
01168.HK,HKEX
01170.HK,HKEX
01171.HK,HKEX
01172.HK,HKEX
01173.HK,HKEX
01176.HK,HKEX
01177.HK,HKEX
01179.HK,HKEX
01180.HK,HKEX
01181.HK,HKEX
01182.HK,HKEX
01183.HK,HKEX
01184.HK,HKEX
01186.HK,HKEX
01188.HK,HKEX
01189.HK,HKEX
01193.HK,HKEX
01195.HK,HKEX
01196.HK,HKEX
01198.HK,HKEX
01199.HK,HKEX
01200.HK,HKEX
01201.HK,HKEX
01202.HK,HKEX
01203.HK,HKEX
01204.HK,HKEX
01205.HK,HKEX
01206.HK,HKEX
01208.HK,HKEX
01209.HK,HKEX
01211.HK,HKEX
01213.HK,HKEX
01215.HK,HKEX
01216.HK,HKEX
01217.HK,HKEX
01218.HK,HKEX
01220.HK,HKEX
01221.HK,HKEX
01222.HK,HKEX
01223.HK,HKEX
01224.HK,HKEX
01225.HK,HKEX
01226.HK,HKEX
01228.HK,HKEX
01229.HK,HKEX
01231.HK,HKEX
01232.HK,HKEX
01233.HK,HKEX
01234.HK,HKEX
01235.HK,HKEX
01237.HK,HKEX
01238.HK,HKEX
01239.HK,HKEX
01240.HK,HKEX
01241.HK,HKEX
01243.HK,HKEX
01244.HK,HKEX
01245.HK,HKEX
01246.HK,HKEX
01247.HK,HKEX
01250.HK,HKEX
01251.HK,HKEX
01252.HK,HKEX
01253.HK,HKEX
01255.HK,HKEX
01257.HK,HKEX
01258.HK,HKEX
01259.HK,HKEX
01260.HK,HKEX
01262.HK,HKEX
01265.HK,HKEX
01268.HK,HKEX
01269.HK,HKEX
01270.HK,HKEX
01271.HK,HKEX
01272.HK,HKEX
01273.HK,HKEX
01274.HK,HKEX
01276.HK,HKEX
01277.HK,HKEX
01278.HK,HKEX
01280.HK,HKEX
01281.HK,HKEX
01282.HK,HKEX
01283.HK,HKEX
01284.HK,HKEX
01285.HK,HKEX
01286.HK,HKEX
01288.HK,HKEX
01289.HK,HKEX
01290.HK,HKEX
01292.HK,HKEX
01293.HK,HKEX
01298.HK,HKEX
01299.HK,HKEX
01300.HK,HKEX
01301.HK,HKEX
01302.HK,HKEX
01303.HK,HKEX
01304.HK,HKEX
01305.HK,HKEX
01308.HK,HKEX
01310.HK,HKEX
01312.HK,HKEX
01313.HK,HKEX
01314.HK,HKEX
01315.HK,HKEX
01316.HK,HKEX
01317.HK,HKEX
01318.HK,HKEX
01319.HK,HKEX
01321.HK,HKEX
01323.HK,HKEX
01326.HK,HKEX
01327.HK,HKEX
01328.HK,HKEX
01330.HK,HKEX
01332.HK,HKEX
01333.HK,HKEX
01334.HK,HKEX
01335.HK,HKEX
01336.HK,HKEX
01338.HK,HKEX
01339.HK,HKEX
01340.HK,HKEX
01341.HK,HKEX
01343.HK,HKEX
01345.HK,HKEX
01346.HK,HKEX
01347.HK,HKEX
01348.HK,HKEX
01349.HK,HKEX
01351.HK,HKEX
01354.HK,HKEX
01355.HK,HKEX
01357.HK,HKEX
01358.HK,HKEX
01359.HK,HKEX
01361.HK,HKEX
01362.HK,HKEX
01364.HK,HKEX
01368.HK,HKEX
01370.HK,HKEX
01371.HK,HKEX
01372.HK,HKEX
01373.HK,HKEX
01375.HK,HKEX
01376.HK,HKEX
01378.HK,HKEX
01379.HK,HKEX
01380.HK,HKEX
01382.HK,HKEX
01384.HK,HKEX
01385.HK,HKEX
01388.HK,HKEX
01389.HK,HKEX
01393.HK,HKEX
01395.HK,HKEX
01396.HK,HKEX
01397.HK,HKEX
01398.HK,HKEX
01399.HK,HKEX
01400.HK,HKEX
01401.HK,HKEX
01402.HK,HKEX
01405.HK,HKEX
01406.HK,HKEX
01407.HK,HKEX
01408.HK,HKEX
01410.HK,HKEX
01412.HK,HKEX
01413.HK,HKEX
01415.HK,HKEX
01416.HK,HKEX
01417.HK,HKEX
01418.HK,HKEX
01419.HK,HKEX
01420.HK,HKEX
01421.HK,HKEX
01425.HK,HKEX
01427.HK,HKEX
01428.HK,HKEX
01429.HK,HKEX
01431.HK,HKEX
01432.HK,HKEX
01433.HK,HKEX
01440.HK,HKEX
01442.HK,HKEX
01443.HK,HKEX
01446.HK,HKEX
01447.HK,HKEX
01448.HK,HKEX
01449.HK,HKEX
01450.HK,HKEX
01451.HK,HKEX
01452.HK,HKEX
01455.HK,HKEX
01456.HK,HKEX
01458.HK,HKEX
01459.HK,HKEX
01460.HK,HKEX
01461.HK,HKEX
01463.HK,HKEX
01466.HK,HKEX
01468.HK,HKEX
01470.HK,HKEX
01471.HK,HKEX
01472.HK,HKEX
01473.HK,HKEX
01475.HK,HKEX
01476.HK,HKEX
01477.HK,HKEX
01478.HK,HKEX
01480.HK,HKEX
01481.HK,HKEX
01483.HK,HKEX
01486.HK,HKEX
01488.HK,HKEX
01489.HK,HKEX
01490.HK,HKEX
01495.HK,HKEX
01496.HK,HKEX
01497.HK,HKEX
01498.HK,HKEX
01499.HK,HKEX
01500.HK,HKEX
01501.HK,HKEX
01502.HK,HKEX
01508.HK,HKEX
01513.HK,HKEX
01515.HK,HKEX
01516.HK,HKEX
01518.HK,HKEX
01519.HK,HKEX
01520.HK,HKEX
01521.HK,HKEX
01522.HK,HKEX
01523.HK,HKEX
01525.HK,HKEX
01526.HK,HKEX
01527.HK,HKEX
01528.HK,HKEX
01529.HK,HKEX
01530.HK,HKEX
01532.HK,HKEX
01536.HK,HKEX
01538.HK,HKEX
01539.HK,HKEX
01540.HK,HKEX
01541.HK,HKEX
01542.HK,HKEX
01543.HK,HKEX
01545.HK,HKEX
01546.HK,HKEX
01547.HK,HKEX
01548.HK,HKEX
01549.HK,HKEX
